;mean;std;2.5q;25q;50q;75q;97.5q;mc err
v_Intercept_subj(empathy).10;-0.723654198;0.212328526;-1.150335271;-0.86420252;-0.720592191;-0.581556864;-0.315638591;0.005194514
v_Intercept_subj(empathy).11;-1.27097859;0.304257768;-1.860192276;-1.473907974;-1.2739267;-1.065278852;-0.680878534;0.010386792
v_Intercept_subj(empathy).12;-1.323367632;0.211181437;-1.749359684;-1.463389058;-1.322624454;-1.181099792;-0.915866347;0.005344734
v_Intercept_subj(empathy).13;1.003301194;0.389044812;0.270329446;0.738605391;0.992753745;1.260876835;1.809558961;0.010167999
v_Intercept_subj(empathy).14;0.697564147;0.343768463;0.043749294;0.465696811;0.691477758;0.929037216;1.396758918;0.008408952
v_Intercept_subj(empathy).15;-0.015861705;0.307292247;-0.619648213;-0.226347463;-0.018661122;0.193922081;0.592570715;0.007008279
v_Intercept_subj(empathy).16;-0.876178368;0.211863186;-1.298738208;-1.023289729;-0.873960854;-0.735833479;-0.444883838;0.004954306
v_Intercept_subj(empathy).17;-0.940192278;0.285232629;-1.497590388;-1.134559855;-0.942092869;-0.745594426;-0.366310142;0.007171492
v_Intercept_subj(empathy).18;-0.6424745;0.201801851;-1.042016845;-0.774272926;-0.643635765;-0.507261059;-0.241625722;0.005028344
v_Intercept_subj(empathy).19;-1.045453338;0.242417613;-1.52499428;-1.209832096;-1.045841508;-0.884500903;-0.577561251;0.006201521
v_Intercept_subj(empathy).20;-1.361353749;0.214597495;-1.787893746;-1.505454846;-1.359542816;-1.214749608;-0.944725726;0.005657001
v_Intercept_subj(empathy).21;0.095244389;0.297358203;-0.503304419;-0.097931929;0.099343962;0.289612239;0.687146606;0.006383498
v_Intercept_subj(empathy).22;0.096869354;0.264265666;-0.433874794;-0.075257485;0.092724404;0.272959035;0.623138577;0.00722158
v_Intercept_subj(empathy).23;0.127196971;0.343785663;-0.536097411;-0.107251361;0.126245285;0.357981563;0.804428149;0.008076351
v_Intercept_subj(empathy).24;-0.026609142;0.231088975;-0.470499527;-0.182399059;-0.029129692;0.125518644;0.422535559;0.00522657
v_Intercept_subj(empathy).25;0.096038243;0.268323054;-0.413570262;-0.088408738;0.086973468;0.2732229;0.643890945;0.007835597
v_Intercept_subj(empathy).26;-0.305111359;0.253561714;-0.793000086;-0.47643149;-0.30766973;-0.141831409;0.228065806;0.005156028
v_Intercept_subj(empathy).27;0.336544208;0.269982002;-0.197165282;0.153506359;0.337908818;0.518173832;0.860373548;0.006249812
v_Intercept_subj(empathy).28;-0.097105344;0.254578697;-0.592643748;-0.270565319;-0.105636019;0.076065493;0.403761984;0.005211437
v_Intercept_subj(empathy).29;0.421954776;0.335373105;-0.235577627;0.195736685;0.415751578;0.651546884;1.079486421;0.00790645
v_Intercept_subj(empathy).30;0.863997246;0.438429992;0.021658859;0.564418503;0.854167889;1.152341944;1.734815314;0.010183207
v_Intercept_subj(empathy).31;-0.407605267;0.229624646;-0.867421545;-0.558914918;-0.403191558;-0.249568944;0.033506265;0.00552013
v_Intercept_subj(empathy).32;-0.982828835;0.268245441;-1.506597142;-1.167798685;-0.983344653;-0.800345957;-0.46056077;0.007132013
v_Intercept_subj(multi-motive).0;0.881781818;0.37044571;0.15125103;0.630382937;0.886361453;1.128674309;1.619500642;0.009943625
v_Intercept_subj(multi-motive).1;0.517081366;0.347730601;-0.132323073;0.273446323;0.515844634;0.752677144;1.217599136;0.007780064
v_Intercept_subj(multi-motive).2;-1.755251958;0.250221242;-2.255217568;-1.922679245;-1.755234751;-1.590865431;-1.25647539;0.007116983
v_Intercept_subj(multi-motive).3;-0.696839546;0.235691282;-1.161617546;-0.850804513;-0.699782158;-0.543121382;-0.226132653;0.005532299
v_Intercept_subj(multi-motive).4;0.78319638;0.329292745;0.152881366;0.558763854;0.777235427;0.99472145;1.470524542;0.010478305
v_Intercept_subj(multi-motive).5;-0.159824069;0.219235039;-0.587688357;-0.306316959;-0.156575027;-0.018477042;0.279053115;0.005176918
v_Intercept_subj(multi-motive).6;-0.967150496;0.258239519;-1.478917144;-1.139045119;-0.96481757;-0.789427149;-0.473737074;0.006175605
v_Intercept_subj(multi-motive).7;-1.052433624;0.260538304;-1.553218316;-1.234220641;-1.050192837;-0.870380862;-0.542333463;0.005910101
v_Intercept_subj(multi-motive).8;-1.197236824;0.266020503;-1.73259524;-1.375991458;-1.196771871;-1.013114621;-0.683915312;0.007112353
v_Intercept_subj(multi-motive).9;-0.495516226;0.234016587;-0.94893595;-0.649034455;-0.493129693;-0.338447957;-0.030496396;0.005613127
v_Intercept_subj(multi-motive).10;-0.066738358;0.275748275;-0.605277989;-0.249554475;-0.072510453;0.112799274;0.484344461;0.007352014
v_Intercept_subj(multi-motive).11;-1.405740323;0.242257008;-1.868337294;-1.569475092;-1.408809506;-1.247998852;-0.918351717;0.006873025
v_Intercept_subj(multi-motive).12;-1.265982452;0.214248751;-1.698907138;-1.405055469;-1.260950361;-1.118511883;-0.859423342;0.005958567
v_Intercept_subj(multi-motive).13;0.59550464;0.291207302;0.040907079;0.396646965;0.58999577;0.794691363;1.168860336;0.006601764
v_Intercept_subj(multi-motive).14;0.75920674;0.325832763;0.13558908;0.537537367;0.757069519;0.979636403;1.396647768;0.008788362
v_Intercept_subj(multi-motive).15;-0.449911685;0.258177224;-0.942963102;-0.625499974;-0.453640212;-0.27458229;0.048546693;0.005911249
v_Intercept_subj(multi-motive).16;0.514331528;0.310263547;-0.083021293;0.305605175;0.509705533;0.717001962;1.145530674;0.006952691
v_Intercept_subj(multi-motive).17;-0.79878462;0.399971188;-1.570109137;-1.069267168;-0.795475312;-0.531780899;-0.024724533;0.010232592
v_Intercept_subj(multi-motive).18;-0.60420577;0.239611445;-1.072488934;-0.766945835;-0.603911421;-0.440481336;-0.122654631;0.005168499
v_Intercept_subj(multi-motive).19;-1.150366682;0.209933654;-1.56342505;-1.294490495;-1.14759906;-1.005679249;-0.737809038;0.004875148
v_Intercept_subj(multi-motive).20;-1.298424891;0.209938521;-1.71040029;-1.440234093;-1.299338595;-1.156015431;-0.899030187;0.00477601
